chamber,state,party,incumbent,termstart,age,bioguide
house,IN,R,Yes,1961,57.5,B000778
house,NJ,R,Yes,1961,57.5,G000237
house,ND,R,Yes,1961,57.5,S000378
house,AR,D,Yes,1961,57.1,G000098
house,TX,D,Yes,1961,57.1,F000152
house,PA,D,Yes,1961,57.1,F000209
house,NY,D,Yes,1961,57.1,R000424
house,CA,D,Yes,1961,57.1,H000713
house,AR,D,Yes,1961,57.0,H000249
house,MS,D,Yes,1961,57.0,W000641
house,MI,R,Yes,1961,57.0,B000377
house,SC,D,Yes,1961,56.9,A000223
house,OK,D,Yes,1961,56.8,S000829
house,OH,R,Yes,1961,56.6,B000426
house,WI,R,Yes,1961,56.6,O000058
house,NY,R,No,1961,56.6,K000195
house,VA,D,Yes,1961,56.5,H000264
house,NY,R,Yes,1961,56.4,P000352
house,MO,D,Yes,1961,56.3,M001045
house,LA,D,Yes,1961,56.3,W000559
house,MN,R,Yes,1961,56.2,N000028
house,NC,R,Yes,1961,56.1,J000206
house,WA,R,Yes,1961,56.1,W000310
house,IL,D,Yes,1961,56.0,P000522
house,OH,D,Yes,1961,55.9,F000060
house,NY,D,Yes,1961,55.8,A000255
house,WI,R,Yes,1961,55.8,V000051
house,NY,R,Yes,1961,55.7,D000425
house,IL,D,No,1961,55.6,F000135
house,MI,R,Yes,1961,55.5,J000109
house,PA,R,Yes,1961,55.4,C000772
house,CA,D,Yes,1961,55.3,S000327
house,SC,D,Yes,1961,55.3,R000280
house,NC,D,Yes,1961,55.2,S000184
house,WI,R,No,1961,55.2,T000233
house,PA,R,Yes,1961,55.1,C001005
house,OK,D,No,1961,54.9,W000439
house,DE,D,Yes,1961,54.9,M000418
house,ID,D,Yes,1961,54.8,P000287
house,MN,D,Yes,1961,54.8,M000152
house,NY,D,Yes,1961,54.8,Z000003
house,NJ,R,Yes,1961,54.8,W000445
house,TX,D,Yes,1961,54.8,B001111
house,ND,R,No,1961,54.8,N000178
house,UT,D,No,1961,54.8,P000264
house,MO,D,Yes,1961,54.7,H000947
house,IN,R,No,1961,54.7,W000572
house,OH,R,No,1961,54.7,M001031
house,IA,R,Yes,1961,54.6,S000161
house,FL,D,Yes,1961,54.6,S000406
house,PA,D,Yes,1961,54.5,B001212
house,NC,D,Yes,1961,54.4,L000240
house,NY,D,Yes,1961,54.4,K000070
house,SD,R,No,1961,54.3,R000152
house,PA,D,Yes,1961,54.2,M000958
house,NH,R,Yes,1961,54.1,M000664
house,AL,D,Yes,1961,54.1,A000206
house,OH,R,Yes,1961,54.0,S000120
house,PA,D,Yes,1961,53.8,T000297
house,KY,D,Yes,1961,53.7,S001037
house,WA,D,Yes,1961,53.6,H000174
house,PA,R,Yes,1961,53.5,S000135
house,NE,R,No,1961,53.5,M000175
house,WV,D,Yes,1961,53.4,S000778
house,NY,D,Yes,1961,53.3,K000130
house,GA,D,Yes,1961,53.3,L000054
house,MI,R,Yes,1961,53.3,M000620
house,KY,D,Yes,1961,53.3,C000342
house,FL,D,Yes,1961,53.3,M000253
house,CT,D,Yes,1961,53.2,K000320
house,CA,D,Yes,1961,53.1,J000135
house,IN,R,Yes,1961,53.1,A000024
house,CA,D,Yes,1961,53.0,R000426
house,NJ,R,Yes,1961,53.0,O000120
house,PA,D,Yes,1961,52.8,D000255
house,ME,R,Yes,1961,52.7,M000478
house,OK,D,Yes,1961,52.7,A000073
house,CT,R,No,1961,52.6,S000224
house,VA,D,Yes,1961,52.6,A000002
house,TX,D,Yes,1961,52.5,R000404
house,PA,R,Yes,1961,52.4,S000102
house,OR,R,Yes,1961,52.3,N000133
house,NC,D,Yes,1961,52.3,K000249
house,NJ,D,Yes,1961,52.2,D000041
house,NY,D,Yes,1961,52.1,P000477
house,LA,D,Yes,1961,52.1,M000995
house,TX,D,Yes,1961,52.0,T000237
house,FL,D,Yes,1961,51.9,H000530
house,IL,R,Yes,1961,51.7,S000756
house,AR,D,Yes,1961,51.6,M000778
house,NJ,D,Yes,1961,51.6,R000374
house,MD,D,Yes,1961,51.5,J000176
house,MO,D,Yes,1961,51.5,R000041
house,IL,D,Yes,1961,51.4,Y000013
house,KY,D,Yes,1961,51.3,N000009
house,CA,R,Yes,1961,51.3,T000109
house,CA,R,Yes,1961,51.2,S000545
house,NY,D,Yes,1961,51.0,H000424
house,OR,D,Yes,1961,51.0,G000407
house,NC,D,Yes,1961,50.9,T000099
house,PA,D,Yes,1961,50.8,G000421
house,OH,D,Yes,1961,50.8,M000836
house,MA,D,Yes,1961,50.8,B001092
house,TX,D,Yes,1961,50.7,T000110
house,MS,D,Yes,1961,50.7,W000428
house,MO,R,No,1961,50.3,H000049
house,TN,D,Yes,1961,50.2,E000273
house,FL,D,Yes,1961,50.1,B000371
house,CA,D,Yes,1961,50.1,S000454
house,MI,D,No,1961,49.9,R000556
house,WA,D,Yes,1961,49.8,M000052
house,OH,D,Yes,1961,49.6,H000408
house,MO,R,Yes,1961,49.6,C001014
house,NC,D,Yes,1961,49.4,A000094
house,KS,R,Yes,1961,49.4,A000228
house,MN,D,Yes,1961,49.4,B000550
house,NV,D,Yes,1961,49.3,B000141
house,MA,D,Yes,1961,49.3,B000600
house,OH,R,Yes,1961,49.2,M000799
house,CT,D,Yes,1961,49.0,M000847
house,MI,D,Yes,1961,48.9,G000471
